short_id,short_headline,short_view_count,url,time_record,video_tag
Du_PKRdB50Y,She did NOT hesitate giving her number 💀 (Jujutsu Kaisen Season 2),2.4M views,/shorts/Du_PKRdB50Y,2024-03-18 23:32:23.757362,"['HARISSM', 'anime reaction', 'anime mashup', 'Jujutsu Kaisen', 'Jujutsu Kaisen Season 2 Episode 2', 'Jujutsu Kaisen Season 2 reaction', 'Jujutsu Kaisen season 2 episode 2 reaction', 'Jujutsu Kaisen season 2 ep 2 reaction', 'Jujutsu Kaisen gojo geto', 'Jujutsu Kaisen fushiguro dad', 'Jujutsu Kaisen episode 2', 'Jujutsu Kaisen Harissm', 'Jujutsu Kaisen reaction mashup', 'Jujutsu kaisen harissm reaction', 'itadori yuuji', 'fushiguro megumi', 'gojou satoru', 'jujutsu kaisen end', 'fushiguro touji', 'getou suguru']"
1YIu8_whO30,The reason you can't buy live tuna 🤨,81M views,/shorts/1YIu8_whO30,2024-03-18 23:32:23.757362,[]
2_IzKxs46m0,His soul left his body for a sec💀🤣 [maomao and Jinshi] The Apothecary diaries #animeedit #viral #fyp,1.1M views,/shorts/2_IzKxs46m0,2024-03-18 23:32:23.757362,[]
SMHdXNxIUrQ,Kai Cenat Though He Got Called The N Word😂,5.5M views,/shorts/SMHdXNxIUrQ,2024-03-18 23:32:23.757362,[]
DxN6u3_MkuQ,"sok”an cinta lo dek, rapor lu benerin dlo #cover #mosawo #koiiro",723K views,/shorts/DxN6u3_MkuQ,2024-03-18 23:32:23.757362,[]
TIXpAHkgqQM,Hololive Kobo Kanaeru Realistic AI Generated,111K views,/shorts/TIXpAHkgqQM,2024-03-18 23:32:23.757362,"['kobo', 'kobo kanaeru', 'aI', 'aiart', 'Photographs', 'Lookbook', 'がうる・ぐら', 'hololive real face', 'hololive indonesia', 'hololive en', 'holoid', 'kobokers', 'ai art and music', 'kobo ai', 'hololive ai', 'hololive kobo', 'kobo clip', 'wajah asli kobo kanaeru', 'realistic ai', 'kobo hololive', 'kobo cover', 'kobo kanaeru ch', 'kobo kaneru', 'ai generated']"
Di4pA8-gBY0,Meaning of Swastika Symbol In Japan vs. The West #shorts,12M views,/shorts/Di4pA8-gBY0,2024-03-18 23:32:23.757362,"['Asian Boss', 'Asia', 'Stay Curious']"
FnBANKqlr4k,A couple adopted a blind tiger that grew up to possess. #shortvideo #Tiger #Blindness #shortsHealing,2.4M views,/shorts/FnBANKqlr4k,2024-03-18 23:32:23.757362,[]
4m4TBAclsjg,This is NOT Actually an Anime Series...,3.5M views,/shorts/4m4TBAclsjg,2024-03-18 23:32:23.757362,"['kito senpai', 'kito', 'anime', 'manga', 'Colors by Hata Motohiro', 'romance anime', 'romance manga', '荒木哲郎×SawanoHiroyuki[nZk]：Hata Motohiro】『COLORs』TOHO animation ミュージックフィルムズ', 'SawanoHiroyuki[nZk]', 'hiroyuki sawano', 'attack on titan', 'eighty six', 'guilty crown', 'blue exorcist', '86 anime', 'winter 2023 anime', 'spring 2023 anime', 'Tomo chan is a girl', 'YOASOBI「海のまにまに」Official Music Video', 'yoasobi', 'japan', 'japanese', 'gigguk', 'trash taste podcast', 'Eve Music Video', 'WIT Studio', 'sad anime', 'sad manga']"
Ln_jQL8HOn0,Why Kobo Kanaeru hitting 1 million subscribers is actually a big deal.,1.1M views,/shorts/Ln_jQL8HOn0,2024-03-18 23:32:23.757362,"['anime', 'vtuber', 'hololive', 'hololiveid']"
gjsWMIHAJjg,可以請您放手嗎😊離していただけませんか？Will you let me go?#藥師少女的獨語#TheApothecaryDiaries#薬屋のひとりごと #cosplay #shorts,2.6M views,/shorts/gjsWMIHAJjg,2024-03-18 23:32:23.757362,[]
VmVe5NpLmmw,What else in that water 😭😭😭,7.8M views,/shorts/VmVe5NpLmmw,2024-03-18 23:32:23.757362,[]
